Dates,ACMESIE LX Equity,RCMSTYL LX Equity,ALEPTEU LX Equity,AEEI2EC LX Equity,CAIXEIA LX Equity,AXWEOFC LX Equity,AXWECEI LX Equity,MEREMAI LX Equity,ETDD FP Equity,CSEMICE LX Equity,CSESDBEL LX Equity,CSIEEDE LX Equity,PAMEULF BB Equity,DIICEIC LX Equity,DWSTEFC LX Equity,STHOPMI FP Equity,FIDFEBI LX Equity,FJ2C GR Equity,GEQ50AD LX Equity,HSBEURQ LX Equity,HSBCLGI LX Equity,BGEURAX LX Equity,HENEUDI LX Equity,JPEDCAC LX Equity,FLEEUEC LX Equity,SGEURIE LX Equity,METVSRI FP Equity,MEZEI1E ID Equity,NATISRI LX Equity,MOREFAI LX Equity,INGEHDI LX Equity,PIPTFEI LX Equity,SIEEACE LX Equity,SSEIIEU LX Equity,SSGFESI LX Equity,TEMGRIA LX Equity,UBSEITL LX Equity,UECIEQD LX Equity,UGEURSA LX Equity,VANESII ID Equity
24/08/2018,29.57,12.1,1212.39,9.46,1850.59,80.89,253.02,29.45,9.048,1215.88,1002.6,1160.48,207.48,300.1,231.05,228.75,22.73,10.503,119.13,42.347,19.471,108.96,49.12,141.38,24.71,1496.9968,320.44,210.7,75112.24,13.06,644.64,193.4,95.9351,12.7056,10.25,22.84,102.74,91.95,1194.4,200.7644
27/08/2018,29.75,12.15,1220.08,9.52,1850.59,81.37,255.17,29.67,9.12,1226.29,1005.6,1170.41,208.96,300.1,232.88,230.58,22.85,10.608,120.2,42.621,19.613,108.89,49.23,142.5,24.89,1509.7974,322.11,212.54,75704.1,13.15,647.85,193.4,95.8041,12.7056,10.25,22.95,103.6,92.43,1202.24,202.4786
28/08/2018,29.79,12.21,1225.09,9.51,1859.78,81.29,254.8,29.77,9.105,1225.79,1014.4,1169.59,208.65,304.12,233.69,230.82,22.84,10.587,119.96,42.655,19.66,109.18,49.67,143.07,25.03,1508.4499,321.06,212.75,75657.41,13.18,646.17,194.35,96.4087,12.7866,10.33,22.93,103.61,92.42,1203.24,202.3345
29/08/2018,29.85,12.2,1220.64,9.54,1864.93,81.36,255.45,29.79,9.114,1228.5,1013.4,1172.4,209.53,302.69,233.32,231.31,22.89,10.62,120.17,42.658,19.636,109.43,49.54,142.59,24.98,1512.2013,321.51,213.51,75703.26,13.19,647.77,194.9,96.3443,12.8171,10.35,22.95,104,92.44,1205.4,202.8223
30/08/2018,29.66,12.15,1217.93,9.48,1859.21,81.09,253.68,29.67,9.054,1222.24,1015,1165.64,208.58,301.57,232.65,230.85,22.77,10.517,119.35,42.416,19.559,109.59,49.58,142.3,24.94,1503.6482,319.84,213.16,75355.13,13.13,645.46,194.3,96.5701,12.7429,10.28,22.8,103.85,91.99,1203.33,201.3625
31/08/2018,29.33,12.09,1210.4,9.41,1843.29,80.33,251.56,29.42,8.958,1210.91,1010.2,1153.87,207.02,298.58,229.86,228.78,22.56,10.422,118.07,42.009,19.386,109.57,49.07,140.84,24.71,1488.6048,316.78,211.69,74754.24,13.03,640.18,192.64,96.8909,12.6145,10.19,22.62,102.81,91.45,1192.47,199.6305
03/09/2018,29.33,12.05,1208.21,9.39,1845.17,80.16,250.9,29.38,8.957,1208.24,1000.8,1154.32,207.49,297.3,229.94,228.84,22.56,10.405,118.08,41.995,19.394,108.98,48.96,140.86,24.71,1489.0605,317.05,211.43,74637.47,13.01,640.18,192.83,96.8358,12.6187,10.2,22.52,103.11,91.46,1193.19,199.7005
04/09/2018,29.22,12.01,1207.51,9.3,1832.49,79.43,248.93,29.12,8.861,1197.16,1001.4,1144.8,205.91,293.95,227.83,227.44,22.42,10.295,116.78,41.828,19.262,108.95,48.46,139.25,24.44,1476.7805,315.67,210.04,73988.96,12.89,635.9,191.5,96.862,12.5146,10.11,22.37,102.16,91.01,1183.02,198.0511
05/09/2018,29,11.85,1186.59,9.17,1812.23,78.34,245.24,28.89,8.748,1185.17,992.5,1130.06,203.08,291.85,225.91,224.74,22.22,10.208,115.19,41.578,18.986,108.28,48.24,138.39,24.33,1458.1826,312.57,207.49,73135.61,12.81,630.12,189.38,97.1764,12.3723,10.04,22.2,100.6,90.36,1170.6,195.4991
06/09/2018,28.88,11.79,1168.6,9.12,1802.07,77.8,243.32,28.84,8.699,1176.02,979.7,1123.69,202,290.84,224.37,223.34,22.06,10.117,114.39,41.302,18.822,107.42,47.84,137.82,24.23,1449.5502,310.68,205.99,72740.34,12.74,627.48,188.33,97.4752,12.2839,9.99,22.03,100.11,89.85,1164.53,194.3893
